task,Noisy,PSNR-oriented,Model-only,Strength-only,Joint
Canny,0.8046873723630835,0.8162885920969981,0.8073365486798905,0.8055044503104702,0.8201205591099832
KLT,0.3097229655447881,0.2637348302401369,0.39444438359321793,0.3097229655447881,0.43052379446919076
ORB,2.1921342940069737,6.487314272671938,2.213793889749795,2.1921342940069737,2.1921342940069737
SIFT,3.0655546378798317,4.196062826374546,3.069116293161642,3.0690333838469814,4.0690549890202234
